a,b
0.67,1
0.5033333,2
0.4666667,3
0.00,4
0.43,5
0.55,6
0.00,7
0.6083333,8
0.00,9
0.00,10
0.9633333,11
0.782381,12
0.00,13
0.99,14
0.00,15
0.9133333,16
0.9266667,17
0.7086667,18
0.9233333,19
0.863,20
0.855,21
0.6230303,22
0.7378571,23
0.6432967,24
0.6332967,25
0.6452747,26
0.9433333,27
0.5988333,28
0.6125,29
0.664,30
0.7066667,31
0.7333333,32
0.71,33
0.7428571,34
0.7627778,35
0.65725,36
0.715,37
0.6886111,38
0.7160606,39
0.7439286,40
0.7696429,41
0.7357143,42
0.7621429,43
0.6530882,44
0.7149091,45
0.7096364,46
0.6608497,47
0.6552288,48
0.6,49
0.664183,50
0.63725,51
0.00,52
0.65825,53
0.00,54
0.6171385,55
0.5958995,56
0.6508333,57
0.6647953,58
0.6924359,59
0.00,60
0.6682456,61
0.6448188,62
0.6450142,63
0.6639869,64
0.5984046,65
0.6298291,66
0.6510458,67
0.7251515,68
0.632684,69
0.6563158,70
0.6549673,71
0.00,72
0.594064,73
0.5920936,74
0.6562573,75
0.6104233,76
0.6283598,77
0.00,78
0.6757368,79
0.6167126,80
0.00,81
0.6003,82
0.6251852,83
0.619496,84
0.6284615,85
0.6365231,86
0.5831378,87
0.6272258,88
0.6576355,89
0.5986452,90
0.6147312,91
0.631707,92
0.00,93
0.603914,94
0.6897778,95
0.6024501,96
0.6044729,97
0.00,98
0.6088161,99
0.6697,100
